OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-05-20T08:56:33.249984,14.46106951,.00418613,24.9710,19.3104,203.4028,317.7975,0,U,22490,999,75708,.36140333E-4,.319E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-05-20T11:00:43.521984,14.24422309,.00005908,99.0064,132.5196,354.4500,5.6671,0,U,25397,999,44738,.28007933E-4,.18E-6,0
SCD 2,1998-060A,2026-05-20T14:40:53.858208,14.45513971,.00166499,24.9950,242.2180,191.0129,191.9741,0,U,25504,999,45633,.33386651E-4,.302E-5,0
DLR-TUBSAT,1999-029B,2026-05-20T09:25:38.289792,14.52418528,.001538,98.6693,134.9837,76.0295,284.2609,0,U,25757,999,42921,.17282339E-4,.22E-6,0
TERRA,1999-068A,2026-05-20T15:23:53.511648,14.61078121,.0001523,97.9474,191.2774,355.5869,156.2181,0,U,25994,999,40558,.52480545E-4,.214E-5,0
MAROC-TUBSAT,2001-056D,2026-05-20T11:13:25.263264,13.70261213,.00194131,99.8070,316.8060,212.0243,174.1001,0,U,27004,999,22239,.9240002E-5,-.39E-6,0
AQUA,2002-022A,2026-05-20T14:41:26.849184,14.62109607,.00020106,98.4263,109.3480,69.7765,350.4033,0,U,27424,999,27924,.10225881E-3,.464E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-05-20T10:46:45.277824,15.32961073,.00071761,97.8692,216.7327,116.5513,243.6465,0,U,28220,999,20684,.30184523E-3,.9533E-4,0
AURA,2004-026A,2026-05-20T14:19:51.035808,14.61280900,.00016128,98.3403,96.8260,73.7212,286.4166,0,U,28376,999,16218,.10428137E-3,.466E-5,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-05-20T00:37:40.925568,14.90966532,.00023228,97.5325,164.3678,116.2015,243.9443,0,U,28649,999,13962,.9109696E-4,.847E-5,0
SINAH 1,2005-043D,2026-05-20T13:57:31.641408,14.64136294,.00144815,98.2823,274.7473,8.1763,351.9672,0,U,28893,999,9648,.40726621E-4,.165E-5,0
RESURS-DK 1,2006-021A,2026-05-20T14:25:52.974912,15.13083913,.00050309,69.9321,50.9563,325.6878,34.3962,0,U,29228,999,9840,.75928187E-4,.1238E-4,0
ARIRANG-2 (KOMPSAT-2),2006-031A,2026-05-20T15:07:33.572352,14.64639499,.00148968,97.8304,326.4104,155.6083,295.5034,0,U,29268,999,5744,.8612456E-5,.1E-7,0
LAPAN-TUBSAT,2007-001A,2026-05-20T13:52:31.232928,14.85919264,.00106889,98.1341,139.1815,277.6345,82.3655,0,U,29709,999,4705,.19062344E-4,.108E-5,0
HAIYANG-1B,2007-010A,2026-05-20T09:16:27.874272,14.31019278,.00122518,98.3487,123.3121,285.7308,74.2524,0,U,31113,999,99665,.31644644E-4,.41E-6,0
COSMO-SKYMED 1,2007-023A,2026-05-20T14:19:24.987936,14.96950698,.00012986,97.8856,332.2232,97.4895,262.6474,0,U,31598,999,2566,.14220673E-3,.1574E-4,0
TERRASAR-X,2007-026A,2026-05-20T11:04:06.028032,15.19150954,.00018653,97.4460,148.5621,92.2234,267.9214,0,U,31698,999,4901,.12516191E-4,.196E-5,0
WORLDVIEW-1 (WV-1),2007-041A,2026-05-20T14:07:58.937376,15.24577808,.00037705,97.3926,260.7272,131.8261,228.3299,0,U,32060,999,3867,.17223497E-3,.4173E-4,0
YAOGAN-3,2007-055A,2026-05-20T14:34:01.121088,14.90659516,.00017058,97.8165,170.7574,95.2017,264.9395,0,U,32289,999,176,.86161378E-4,.789E-5,0
COSMO-SKYMED 2,2007-059A,2026-05-20T14:48:06.316992,14.82160251,.00014563,97.8884,324.6150,90.3890,269.7490,0,U,32376,999,99791,.35255344E-4,.228E-5,0
RADARSAT-2,2007-061A,2026-05-20T14:37:17.915232,14.29981981,.00013126,98.5781,147.9357,85.1327,275.0005,0,U,32382,999,96201,.26704848E-4,.25E-6,0
CARTOSAT-2A,2008-021A,2026-05-20T13:59:10.377600,14.79196686,.00112428,97.7646,190.2314,194.1794,165.9104,0,U,32783,999,97472,.13840462E-3,.978E-5,0
HUANJING 1A (HJ-1A),2008-041A,2026-05-20T15:43:30.409248,14.83917493,.00176589,97.6676,127.5620,225.8607,134.1157,0,U,33320,999,95432,.12266255E-3,.97E-5,0
HUANJING 1B (HJ-1B),2008-041B,2026-05-20T14:41:16.697184,14.83265581,.00346672,97.6514,130.7748,274.5218,85.2036,0,U,33321,999,95432,.10860774E-3,.845E-5,0
GEOEYE 1,2008-042A,2026-05-20T14:54:58.834656,14.64695623,.00051451,98.1240,214.9013,136.1400,224.0213,0,U,33331,999,94611,.57534529E-4,.259E-5,0
THEOS,2008-049A,2026-05-20T15:10:01.846848,14.20130349,.00013623,98.5582,198.8076,87.8761,272.2572,0,U,33396,999,91405,.2228619E-3,.433E-5,0
COSMO-SKYMED 3,2008-054A,2026-05-20T14:02:37.965696,15.06756361,.00158693,97.8310,358.6972,6.9196,353.2247,0,U,33412,999,95278,.18140384E-3,.2639E-4,0
YAOGAN-4,2008-061A,2026-05-20T13:46:50.112768,14.83140687,.00148011,97.9303,74.2909,155.1589,205.0340,0,U,33446,999,94157,.70893914E-4,.525E-5,0
GOSAT (IBUKI),2009-002A,2026-05-20T14:13:34.983264,14.67536589,.00018889,98.0863,252.0240,103.6668,256.4747,0,U,33492,999,92741,.58892103E-4,.286E-5,0
DEIMOS-1,2009-041A,2026-05-20T15:33:34.542144,14.75203532,.00004055,97.7377,299.0745,39.9784,320.1456,0,U,35681,999,90282,.4585977E-5,-.16E-6,0
DUBAISAT-1,2009-041B,2026-05-20T14:47:59.203680,14.75070932,.0011043,98.0015,274.1835,153.0878,207.0906,0,U,35682,999,90103,.87823701E-4,.541E-5,0
OCEANSAT-2,2009-051A,2026-05-20T14:32:36.578688,13.99651575,.00147885,98.2303,130.2121,319.6201,40.3866,0,U,35931,999,87547,.2193081E-3,.283E-5,0
WORLDVIEW-2 (WV-2),2009-055A,2026-05-20T14:35:28.041216,14.37935543,.00033018,98.4683,214.4417,312.9268,47.1641,0,U,35946,999,87168,.34956397E-4,.62E-6,0
SMOS,2009-059A,2026-05-20T06:03:04.588416,14.39756041,.0001308,98.4428,327.9964,92.8768,267.2570,0,U,36036,999,86943,.52028E-4,.12E-5,0
YAOGAN-7,2009-069A,2026-05-20T06:20:07.140192,14.77977983,.0025701,98.0104,26.2991,127.2766,233.0793,0,U,36110,999,88550,.45541E-4,.277E-5,0
TANDEM-X,2010-030A,2026-05-20T09:29:15.005184,15.19151246,.00018641,97.4457,148.4986,88.8486,271.2962,0,U,36605,999,88242,.7903761E-5,.99E-6,0
CARTOSAT-2B,2010-035A,2026-05-20T14:16:21.712800,14.78622973,.00099938,97.9965,191.3175,282.1046,77.9045,0,U,36795,999,85577,.78519173E-4,.523E-5,0
YAOGAN-10,2010-038A,2026-05-20T14:42:34.202304,14.85253689,.00015846,97.8988,164.2371,90.3952,62.4434,0,U,36834,999,85311,.94699211E-4,.759E-5,0
COSMO-SKYMED 4,2010-060A,2026-05-20T15:06:21.486240,14.82158673,.00014075,97.8882,324.6286,85.1802,274.9572,0,U,37216,999,84048,.22690087E-4,.128E-5,0
RESOURCESAT-2,2011-015A,2026-05-20T13:39:56.436480,14.21605652,.00107604,98.7652,208.2000,342.8978,17.1835,0,U,37387,999,78225,.42061986E-4,.48E-6,0
HAIYANG-2A,2011-043A,2026-05-20T09:08:32.521344,13.75107710,.00064216,99.3396,143.6596,139.5092,220.6536,0,U,37781,999,74283,.24866246E-3,.194E-5,0
RASAT,2011-044D,2026-05-20T14:05:36.811968,14.68137888,.00191734,98.0564,232.4067,280.9902,204.0760,0,U,37791,999,78913,.14575263E-3,.791E-5,0
SRMSAT,2011-058D,2026-05-20T13:46:47.506080,14.11569051,.0011594,19.9712,226.6095,260.6203,126.6309,0,U,37841,999,75391,.48567166E-4,.355E-5,0
PLEIADES 1A,2011-076F,2026-05-20T15:11:04.904160,14.58552257,.0001191,98.1977,216.1039,102.7816,43.9694,0,U,38012,999,76797,.12666143E-3,.543E-5,0
ZIYUAN 1-02C (ZY 1-02C),2011-079A,2026-05-20T16:21:39.294720,14.38190602,.00072038,98.4078,208.5633,39.6939,111.6169,0,U,38038,999,75525,.19033638E-3,.535E-5,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-05-20T14:12:09.900864,14.62178475,.00049709,98.1156,98.5316,186.5671,173.5466,0,U,38338,999,74731,.5587896E-4,.235E-5,0
EXACTVIEW-1 (ADS-1B),2012-039C,2026-05-20T13:49:03.624096,14.24975315,.00098948,98.9744,257.3471,248.8127,111.1995,0,U,38709,999,71877,.47858014E-4,.65E-6,0
SPOT 6,2012-047A,2026-05-20T14:52:43.658400,14.58544169,.00012937,98.2125,208.2491,95.2258,264.9089,0,U,38755,999,72903,.66037878E-4,.261E-5,0
PLEIADES 1B,2012-068A,2026-05-20T15:19:53.070816,14.58541051,.00013369,98.1948,216.0687,102.3490,257.7859,0,U,39019,999,71683,.73688732E-4,.297E-5,0
GOKTURK 2,2012-073A,2026-05-20T14:47:23.339040,14.75511448,.00021911,97.6830,339.4279,80.5739,279.5719,0,U,39030,999,72044,.3549655E-5,-.23E-6,0
LANDSAT 8,2013-008A,2026-05-20T15:00:45.780768,14.57115817,.00013217,98.1839,211.1308,102.3838,257.7509,0,U,39084,999,69388,.52544528E-4,.192E-5,0
SARAL,2013-009A,2026-05-20T14:20:14.191872,14.32848454,.00022809,98.5559,327.5142,38.0449,322.0896,0,U,39086,999,69165,.32626555E-4,.45E-6,0
GAOFEN-1,2013-018A,2026-05-20T14:48:45.763776,14.76541642,.00169962,97.9098,213.2435,0.1588,359.9624,0,U,39150,999,70417,.64713375E-4,.401E-5,0
VNREDSAT 1,2013-021B,2026-05-20T15:06:09.218304,14.64824418,.00015044,97.9092,195.1013,97.0424,263.0951,0,U,39160,999,69625,.94289322E-4,.458E-5,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-05-20T15:09:32.317056,15.04501045,.00023978,97.6207,327.7195,195.2795,164.8359,0,U,39227,999,69971,.29443293E-4,.352E-5,0
SKYSAT-A,2013-066C,2026-05-20T13:04:01.643808,15.12799130,.00227589,97.3831,190.8229,53.2860,307.0458,0,U,39418,999,68430,.13542306E-3,.2327E-4,0
